EMBI Global Diversified Subindices;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fecha;Global;LATINO;REP DOM;Argentina;Bolivia;Brasil;Chile;Colombia;Costa Rica;Ecuador;El Salvador;Guatemala;Honduras;M�xico;Paraguay;Per�;Panam�;Uruguay;Venezuela;RD-LATINO;;;;;;;
04-feb-08;2,85;3,14;3,59;4,53;;2,53;1,68;2,51;;6,49;2,33;;;1,94;;2,03;2,33;2,85;5,29;0,45;;;;;;;
05-feb-08;2,94;3,24;3,67;4,70;;2,65;1,70;2,63;;6,57;2,42;;;2,01;;2,13;2,42;2,92;5,41;0,43;;;;;;;
06-feb-08;2,94;3,24;3,67;4,70;;2,64;1,71;2,62;;6,57;2,47;;;2,00;;2,10;2,39;2,93;5,44;0,43;;;;;;;
07-feb-08;2,85;3,15;3,54;4,64;;2,57;1,69;2,47;;6,48;2,33;;;1,91;;1,98;2,28;2,81;5,39;0,39;;;;;;;
08-feb-08;2,99;3,32;3,70;4,89;;2,73;1,67;2,62;;6,59;2,42;;;2,01;;2,12;2,35;2,91;5,91;0,38;;;;;;;
11-feb-08;3,00;3,33;3,70;4,97;;2,73;1,65;2,62;;6,60;2,45;;;2,02;;2,15;2,38;2,95;5,89;0,36;;;;;;;
12-feb-08;2,94;3,25;3,70;4,79;;2,63;1,65;2,52;;6,59;2,45;;;1,95;;2,13;2,32;2,93;5,68;0,45;;;;;;;
13-feb-08;2,92;3,21;3,70;4,76;;2,58;1,65;2,46;;6,55;2,49;;;1,91;;2,12;2,28;2,92;5,62;0,48;;;;;;;
14-feb-08;2,87;3,17;3,70;4,74;;2,51;1,71;2,47;;6,48;2,44;;;1,86;;2,05;2,21;2,83;5,58;0,53;;;;;;;
15-feb-08;2,93;3,24;3,78;4,87;;2,61;1,69;2,55;;6,52;2,48;;;1,92;;2,14;2,28;2,90;5,68;0,54;;;;;;;
19-feb-08;2,91;3,22;3,78;4,79;;2,60;1,77;2,52;;6,44;2,43;;;1,92;;2,12;2,25;2,90;5,58;0,56;;;;;;;
20-feb-08;2,83;3,15;3,64;4,78;;2,51;1,66;2,41;;6,27;2,45;;;1,85;;2,10;2,24;2,87;5,50;0,49;;;;;;;
21-feb-08;2,91;3,22;3,85;4,87;;2,55;1,71;2,51;;6,18;2,55;;;1,90;;2,19;2,32;2,97;5,60;0,63;;;;;;;
22-feb-08;2,87;3,16;3,84;4,81;;2,47;1,70;2,44;;6,18;2,54;;;1,82;;2,12;2,27;2,97;5,54;0,68;;;;;;;
25-feb-08;2,77;3,06;3,72;4,77;;2,39;1,69;2,29;;6,05;2,44;;;1,72;;1,99;2,14;2,87;5,37;0,67;;;;;;;
26-feb-08;2,78;3,05;3,77;4,63;;2,37;1,70;2,29;;6,02;2,47;;;1,73;;2,00;2,17;2,90;5,36;0,72;;;;;;;
27-feb-08;2,80;3,07;3,83;4,63;;2,40;1,71;2,32;;6,09;2,47;;;1,71;;1,97;2,19;2,92;5,48;0,76;;;;;;;
28-feb-08;2,93;3,20;4,06;4,79;;2,54;1,71;2,48;;6,26;2,62;;;1,81;;2,04;2,30;3,08;5,62;0,86;;;;;;;
29-feb-08;3,06;3,33;4,22;5,03;;2,65;1,66;2,58;;6,40;2,75;;;1,91;;2,15;2,43;3,21;5,83;0,89;;;;;;;
03-mar-08;3,08;3,37;4,22;5,06;;2,67;1,66;2,70;;6,52;2,74;;;1,92;;2,16;2,40;3,22;6,04;0,85;;;;;;;
04-mar-08;2,99;3,28;4,16;4,93;;2,57;1,61;2,60;;6,54;2,67;;;1,83;;2,06;2,27;3,13;5,96;0,88;;;;;;;
05-mar-08;2,93;3,20;4,10;4,75;;2,52;1,66;2,47;;6,46;2,59;;;1,79;;1,99;2,13;3,04;5,85;0,90;;;;;;;
06-mar-08;2,98;3,25;4,15;4,90;;2,56;1,64;2,52;;6,51;2,61;;;1,84;;2,03;2,14;3,07;5,99;0,90;;;;;;;
07-mar-08;3,10;3,38;4,43;5,05;;2,73;1,69;2,65;;6,66;2,70;;;1,94;;2,16;2,26;3,16;6,16;1,04;;;;;;;
10-mar-08;3,19;3,47;4,59;5,25;;2,83;1,68;2,73;;6,71;2,80;;;2,03;;2,23;2,34;3,26;6,19;1,12;;;;;;;
11-mar-08;3,03;3,29;4,39;4,90;;2,65;1,69;2,51;;6,51;2,67;;;1,88;;2,08;2,19;3,13;5,96;1,09;;;;;;;
12-mar-08;3,12;3,39;4,50;5,10;;2,72;1,68;2,59;;6,63;2,78;;;1,97;;2,19;2,32;3,23;6,07;1,11;;;;;;;
13-mar-08;3,11;3,39;4,55;5,12;;2,76;1,69;2,59;;6,67;2,76;;;1,91;;2,18;2,31;3,19;6,11;1,16;;;;;;;
14-mar-08;3,24;3,54;4,67;5,41;;2,89;1,66;2,69;;6,94;2,88;;;2,00;;2,28;2,42;3,32;6,43;1,13;;;;;;;
17-mar-08;3,39;3,71;4,82;5,80;;3,04;1,69;2,86;;7,33;3,00;;;2,12;;2,44;2,52;3,44;6,67;1,11;;;;;;;
18-mar-08;3,20;3,50;4,81;5,36;;2,84;1,73;2,71;;6,78;2,96;;;1,99;;2,29;2,42;3,34;6,15;1,31;;;;;;;
19-mar-08;3,27;3,59;4,89;5,51;;2,90;1,73;2,77;;6,87;3,06;;;2,04;;2,39;2,51;3,45;6,34;1,31;;;;;;;
20-mar-08;3,27;3,59;4,89;5,51;;2,91;1,69;2,77;;6,87;3,07;;;2,02;;2,39;2,51;3,46;6,36;1,30;;;;;;;
